Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
There are two examination rooms A and B. If 10 students are sent from A to B, then the number of students in each room is the same. If 20 candidates are sent from B to A, then the number of students in A is double the number of students in B. The number of students in room A is:;20;80;100;200;C,,,,,,,,
"Pointing to a photograph of a boy Suresh said, ""He is the son of the only son of my mother."" How is Suresh related to that boy?";Brother;Uncle;Cousin;Father;D,,,,,,,,
Which word does NOT belong with the others?;Parsley;Basil;Dill;Mayonnaise;D,,,,,,,,
Find the next number in the series: 3, 5, 9, 17, 33...;49;65;64;48;B,,,,,,,,
If RED is coded as 27 and BLUE is coded as 42, then what is the code for GREEN?;47;48;49;50;C,,,,,,,,
A, P, R, X, S and Z are sitting in a row. S and Z are in the centre. A and P are at the ends. R is sitting to the left of A. Who is to the right of P?;A;X;S;Z;B,,,,,,,,
Statement: All clouds are rain. All rain is water. Conclusion: I. All clouds are water. II. Some water is rain.;Only conclusion I follows;Only conclusion II follows;Both I and II follow;Neither I nor II follows;C,,,,,,,,
Find the missing number in the matrix: 2 3 4 | 5 6 7 | 7 9 ?;9;10;11;12;C,,,,,,,,
CUP is to LIP as BIRD is to ?;FOREST;BUSH;BEAK;GRASS;C,,,,,,,,
In a certain code language, '134' means 'good and tasty'; '478' means 'see good pictures'; and '729' means 'pictures are faint'. Which of the following digits stands for 'see'?;9;2;1;8;D,,,,,,,,
Look at this series: 2, 1, 0.5, 0.25, ... What number should come next?;1/3;1/8;2/8;1/16;B,,,,,,,,
SCD, TEF, UGH, ____, WKL;CMN;UJI;VIJ;IJT;C,,,,,,,,
"Introducing a boy, a girl said, ""He is the son of the daughter of the father of my uncle."" How is the boy related to the girl?";Brother;Nephew;Uncle;Son-in-law;A,,,,,,,,
A man walks 5 km toward south and then turns to the right. After walking 3 km he turns to the left and walks 5 km. Now in which direction is he from the starting place?;West;South;North-East;South-West;D,,,,,,,,
Which of the following is an odd number?;1;3;5;9;B,,,,,,,,
If A is the brother of B; B is the sister of C; and C is the father of D, how is D related to A?;Brother;Sister;Nephew;Cannot be determined;C,,,,,,,,
Find the oddly paired words.;Painting : Artist;Water : Swim;Oil : Lamp;Power : Machine;B,,,,,,,,
Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?;7;10;12;13;B,,,,,,,,
If ROSE is coded as 6821, CHAIR is coded as 73456 and PREACH is coded as 961473, what will be the code for SEARCH?;246173;214673;214763;216473;B,,,,,,,,
Find the odd one out.;3;5;7;9;D,,,,,,,,
Select the pair which has the same relationship.;Light : Blind;Speech : Dumb;Language : Deaf;Tongue : Sound;B,,,,,,,,
Five girls are sitting on a bench to be photographed. Seema is to the left of Rani and to the right of Bindu. Mary is to the right of Rani. Reeta is between Rani and Mary. Who is sitting immediate right to Reeta?;Bindu;Rani;Mary;Seema;C,,,,,,,,
Which number replaces the question mark?;4;2;6;8;C,,,,,,,,
Identify the odd one from the list.;Hearing;Listening;Sensing;Observing;A,,,,,,,,
Choose the word which is different from the rest.;Chicken;Snake;Swan;Crocodile;A,,,,,,,,
Find the next number: 8, 27, 64, 125, ?;216;343;512;729;A,,,,,,,,
A is B's sister. C is B's mother. D is C's father. E is D's mother. Then, how is A related to D?;Granddaughter;Grandmother;Daughter;Grandfather;A,,,,,,,,
One morning Udai and Vishal were talking to each other face to face at a crossing. If Vishal's shadow was exactly to the left of Udai, which direction was Udai facing?;East;West;North;South;C,,,,,,,,
Look at this series: 36, 34, 30, 28, 24, ... What number should come next?;20;22;23;26;B,,,,,,,,
Choose the number which is different from others in the group.;12;25;37;49;C,,,,,,,,
If Z = 52 and ACT = 48, then BAT will be equal to?;39;41;44;46;D,,,,,,,,
"Pointing to a photograph, a man said, ""I have no brother or sister but that man's father is my father's son."" Whose photograph was it?";His own;His son;His father;His nephew;B,,,,,,,,
In a code, CORNER is written as GSVRIV. How can CENTRAL be written in that code?;DFOUSBM;GIRXVEP;GJRYVEP;GKRZVEP;C,,,,,,,,
Statements: Some actors are singers. All the singers are dancers. Conclusions: I. Some actors are dancers. II. No singer is actor.;Only (1) follows;Only (2) follows;Either (1) or (2) follows;Neither (1) nor (2) follows;A,,,,,,,,
Look at this series: 22, 21, 23, 22, 24, 23, ... What number should come next?;22;24;25;26;C,,,,,,,,
Create a meaningful word from 'N R O C I';CORNI;RICON;IRONC;NICOR;A,,,,,,,,
Reconstruct the sentence: P: we have to Q: as we see it R: speak the truth S: there is no escape;RSQP;QPRS;RQSP;PSRQ;Q,,,,,,,,
Marathon is to race as hibernation is to ?;Winter;Bear;Dream;Sleep;D,,,,,,,,
Choose the word which is least like the others.;Calendar;Year;Date;Month;A,,,,,,,,
Find the missing number: 1, 4, 9, 16, 25, ?;35;36;48;49;B,,,,,,,,
If P is the husband of Q and R is the mother of S and Q, what is R to P?;Mother;Sister;Aunt;Mother-in-law;D,,,,,,,,
Based on the relationship given, find the missing word: Odometer is to mileage as compass is to ?;Speed;Hiking;Needle;Direction;D,,,,,,,,
What number should replace the question mark? 12, 11, 13, 12, 14, 13, ?;10;16;13;15;D,,,,,,,,
Choose the pair that has a similar relationship: Hope : Aspire;Fake : Ordinary;Fib : Lie;Film : Flam;Folk : Legend;B,,,,,,,,
Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?;12;14;27;53;B,,,,,,,,
Correct the sentence: I have not seen him since twenty years.;I have not seen him for twenty years.;I have not seen him from twenty years.;I have not seen him during twenty years.;No correction required;A,,,,,,,,
