Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_d796dd811d.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>★</b>?;✦;▲;●;◼;D,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_99d7f18547.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>★</b>?;▲;✖;◼;●;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_f128a43ddd.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>★</b>?;◼;●;▲;✦;D,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_1344ee53ba.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>◼</b>?;✖;★;✦;●;C,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_89c58e8c57.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✖</b>?;◼;▲;●;✦;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_c54c4de5c0.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>▲</b>?;◼;●;✦;★;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_51e2c55923.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>★</b>?;◼;▲;●;✖;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_7feb194f65.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✦</b>?;◼;▲;★;✖;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_088fed9b50.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>●</b>?;▲;◼;★;✦;A,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_24d252e13c.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>◼</b>?;●;★;✦;▲;A,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_a812850e1b.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✖</b>?;●;◼;✦;▲;A,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_d95bc42aa9.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✦</b>?;★;●;◼;✖;C,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_d2769c9250.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>▲</b>?;✦;★;✖;●;C,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_7d84a1483e.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>●</b>?;✦;★;✖;◼;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_1f56c59415.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>◼</b>?;●;✖;✦;▲;A,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_b5284306be.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✦</b>?;★;●;✖;▲;D,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_47186e167a.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>▲</b>?;✖;✦;★;●;A,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_77a7516eb3.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>◼</b>?;▲;✖;●;★;D,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_bff7e6d18c.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✦</b>?;★;●;✖;▲;B,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_321d15ed3e.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>✖</b>?;✦;▲;★;●;C,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_e01d302d6b.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>◼</b>?;●;▲;✖;✦;A,,,,,,,,
Observe the 2D cube net below:<br><img src='images/cog_16adc4ae38.svg' style='max-width:100%,'><br>If folded into a 3D cube, which symbol will be on the opposite face of <b>◼</b>?;●;✖;★;✦;C,,,,,,,,
