Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
Study the following flowchart.<br><img src='images/vis_9b15f1ee.svg' style='max-width:100%,'> <br>What will be the output?;1 2 3;1 2 3 4;0 1 2;Syntax Error;A,,,,,,,,
Analyze the flowchart.<br><img src='images/vis_b44f64a6.svg' style='max-width:100%,'> <br>What is printed?;A;B;None;Infinite Loop;B,,,,,,,,
Consider the following pseudocode:<br><code>sum = 0<br>for i = 1 to 5 do<br>&nbsp,&nbsp,sum = sum + i<br>end for<br>print sum</code><br>What is the output?;10;15;20;25;B,,,,,,,,
What will this pseudocode output?<br><code>x = 10<br>y = 20<br>x = x + y<br>y = x - y<br>x = x - y<br>print x, y</code>;10, 20;20, 10;30, 10;10, 30;B,,,,,,,,
Evaluate the pseudocode:<br><code>function calc(n)<br>if n == 0 return 1<br>return n * calc(n-1)</code><br>What does calc(4) return?;12;16;24;120;C,,,,,,,,
"What is the output of the following C code?<br><code>#include &lt,stdio.h&gt,<br>int main() {{<br>  int a = 5,<br>  printf(""%d"", ++a + a++),<br>  return 0,<br>}}</code><br><i>(Assume standard left-to-right evaluation)</i>";10;11;12;13;D,,,,,,,,
"What is the output of the following C code?<br><code>#include &lt,stdio.h&gt,<br>int main() {{<br>  int i = 0,<br>  while (i < 3) {{<br>    printf(""%d "", i),<br>    i++,<br>  }}<br>  return 0,<br>}}</code>";0 1 2;1 2 3;0 1 2 3;Infinite Loop;A,,,,,,,,
"What will be the output of this C code?<br><code>int x = 5,<br>if(x == 5)<br>&nbsp,&nbsp,printf(""A""),<br>else,<br>&nbsp,&nbsp,printf(""B""),</code>";A;B;AB;Compile Error;C,,,,,,,,
What is the output of the following C++ code?<br><code>#include &lt,iostream&gt,<br>using namespace std,<br>int main() {{<br>  int arr[] = {10, 20, 30},<br>  cout &lt,&lt, *(arr + 1),<br>  return 0,<br>}}</code>;10;20;30;Address of arr;B,,,,,,,,
In C++, what does the following output?<br><code>int x = 10,<br>int& ref = x,<br>ref = 20,<br>cout &lt,&lt, x,</code>;10;20;0;Reference Error;B,,,,,,,,
"What is the output of this Java code?<br><code>public class Main {{<br>  public static void main(String[] args) {{<br>    String s1 = new String(""Hello""),<br>    String s2 = new String(""Hello""),<br>    System.out.print(s1 == s2),<br>  }}<br>}}</code>";true;false;Compilation Error;Run-time Exception;B,,,,,,,,
"What is the output in Java?<br><code>System.out.println(10 + 20 + ""Java""),</code>";1020Java;30Java;Java1020;Java30;B,,,,,,,,
"What is the output in Java?<br><code>System.out.println(""Java"" + 10 + 20),</code>";Java1020;Java30;30Java;1020Java;A,,,,,,,,
What is the output of the following Python code?<br><code>x = [1, 2, 3]<br>y = x<br>y.append(4)<br>print(x)</code>;[1, 2, 3];[1, 2, 3, 4];[4];Error;B,,,,,,,,
What does this Python snippet output?<br><code>print(2 ** 3 ** 2)</code>;64;512;72;4096;B,,,,,,,,
"Predict the Python output:<br><code>a = ""Python""<br>print(a[::-1])</code>";nohtyP;Python;Error;P;A,,,,,,,,
Which data structure uses LIFO (Last In First Out)?;Queue;Array;Stack;Linked List;C,,,,,,,,
What is the time complexity of binary search on a sorted array?;O(1);O(n);O(n log n);O(log n);D,,,,,,,,
Which operator is used to allocate memory dynamically in C++?;malloc();alloc;new;create;C,,,,,,,,
How many times will the loop execute? <br><code>for(int i = 0, i &lt,= 10, i += 2)</code>;4;5;6;10;C,,,,,,,,
In Python, what keyword is used to exit a loop prematurely?;exit;stop;break;continue;C,,,,,,,,
Which loop is guaranteed to execute at least once?;for loop;while loop;do-while loop;None of the above;C,,,,,,,,
What is the term for the condition that causes a recursive function to stop calling itself?;Base case;Recursive case;Terminal condition;End point;A,,,,,,,,
Consider the recursive function:<br><code>int f(int n) {{<br>  if (n <= 1) return 1,<br>  return f(n-1) + f(n-1),<br>}}</code><br>What is f(3)?;2;3;4;8;C,,,,,,,,
What happens if a recursive function does not have a base case?;It runs once;It runs infinitely causing a Stack Overflow;It throws a syntax error;It returns 0;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {90, 100, 104, 115},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;Compile Error 96;115;100;90;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {54, 58, 68, 83},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;58;54;83;68;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {59, 68, 69, 88},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;59;88;68;69;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {84, 92, 103, 112},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;92;103;84;112;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {75, 79, 89, 96},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;96;89;75;79;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {62, 70, 82, 91},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;70;91;82;62;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {26, 31, 42, 48},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;26;48;42;31;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {21, 28, 33, 48},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;28;21;33;48;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {83, 85, 97, 111},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;111;85;83;Compile Error 25;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {55, 64, 65, 82},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;82;55;65;64;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {71, 79, 88, 96},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;96;71;79;88;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {70, 74, 81, 96},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;96;74;70;Compile Error 27;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {28, 34, 41, 55},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;34;28;55;Compile Error 51;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {97, 105, 114, 126},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;105;97;126;Compile Error 98;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {26, 28, 43, 50},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;50;28;43;26;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {19, 22, 30, 41},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;19;Compile Error 23;22;41;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {38, 41, 53, 65},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;53;65;38;41;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {33, 43, 48, 62},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;43;33;48;62;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {31, 34, 51, 53},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;51;53;34;31;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {53, 54, 69, 76},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;54;69;53;76;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {42, 51, 52, 68},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;51;42;Compile Error 35;68;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {24, 29, 42, 53},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;42;29;24;53;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {22, 31, 36, 52},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;36;52;31;22;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {73, 80, 84, 100},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;84;80;100;73;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {35, 45, 51, 58},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;58;45;35;51;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {11, 12, 30, 38},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;38;12;11;30;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {52, 53, 66, 72},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;72;52;Compile Error 42;53;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {61, 62, 77, 84},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;84;62;61;Compile Error 43;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {55, 57, 74, 79},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;55;79;57;74;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {92, 96, 102, 119},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;96;119;92;102;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {58, 62, 78, 83},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;Compile Error 45;58;62;83;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {79, 81, 98, 105},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;79;98;105;81;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {14, 22, 31, 41},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;22;31;14;41;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {24, 29, 42, 48},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;24;42;48;29;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {60, 68, 76, 88},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;88;76;68;60;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {90, 94, 110, 110},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;110;94;Compile Error 18;90;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {73, 79, 86, 97},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;97;86;79;73;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {70, 76, 88, 90},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;70;76;88;90;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {46, 49, 65, 75},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;65;75;49;46;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {11, 14, 31, 35},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;Compile Error 86;11;35;14;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {64, 66, 80, 86},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;66;86;64;80;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {97, 105, 111, 118},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;97;118;111;105;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {77, 84, 87, 98},<br>int *ptr = arr,<br>ptr += 2,<br>cout << *ptr,</code>;98;84;77;87;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {68, 70, 79, 96},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;68;79;70;96;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {10, 17, 23, 40},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;40;17;10;23;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {68, 74, 86, 98},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;74;98;86;68;A,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {77, 79, 97, 101},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;Compile Error 49;77;79;101;D,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {20, 28, 40, 42},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;20;Compile Error 82;42;28;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {40, 47, 57, 67},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;67;40;47;57;C,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {74, 76, 89, 100},<br>int *ptr = arr,<br>ptr += 3,<br>cout << *ptr,</code>;76;100;Compile Error 34;74;B,,,,,,,,
What is the output of the C++ code?<br><code>int arr[] = {89, 98, 104, 117},<br>int *ptr = arr,<br>ptr += 1,<br>cout << *ptr,</code>;89;104;117;98;D,,,,,,,,
