Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
"Synonym of ""ABANDON""";Try;Join;Keep;Forsake;D,,,,,,,,
"Antonym of ""ENORMOUS""";Soft;Average;Tiny;Weak;C,,,,,,,,
Choose the correct spelling.;Accomodation;Accommodetion;Accommodation;Acommodation;C,,,,,,,,
"Select the word which means the same as the group of words: ""A person who does not believe in the existence of God""";Theist;Heretic;Atheist;Fanatic;C,,,,,,,,
Fill in the blank: He is afraid ______ spiders.;of;to;with;for;A,,,,,,,,
Analogy: TREE : LEAF :: FLOWER : ?;Fruit;Petal;Root;Stem;B,,,,,,,,
"Complete the phrase: ""A blessing in ______""";Disguise;Hide;Cover;Mask;A,,,,,,,,
Select the odd one out.;Table;Chair;Cupboard;Carpet;D,,,,,,,,
"Synonym of ""CANDID""";Frank;Deceitful;Secretive;Shy;A,,,,,,,,
"Antonym of ""ARTIFICIAL""";Natural;Truthful;Solid;Red;A,,,,,,,,
"What is the plural of ""Sheep""?";Sheeps;Sheep;Sheepes;Shoop;B,,,,,,,,
Fill in the blank: The train ______ before we reached the station.;left;had left;has left;will leave;B,,,,,,,,
Select the correctly punctuated sentence.;Its a nice day.;it's a nice day.;It's a nice day.;Its' a nice day.;C,,,,,,,,
"Choose the word that fits: ""A ______ of lions""";Herd;Pack;Pride;School;C,,,,,,,,
"Meaning of idiom: ""To let the cat out of the bag""";To reveal a secret;To allow a cat outside;To make a mistake;To be lazy;A,,,,,,,,
"Synonym of ""DILIGENT""";Lazy;Hardworking;Intelligent;Lucky;B,,,,,,,,
"Antonym of ""BRAVE""";Courageous;Bold;Cowardly;Strong;C,,,,,,,,
Which word is a noun?;Beautiful;Beauty;Beautifully;Beautify;B,,,,,,,,
Fill in the blank: ______ you like some tea?;Do;Would;Can;Are;B,,,,,,,,
"Correct the sentence: ""He don't know the answer.""";He doesn't know the answer.;He didn't knew the answer.;He not know the answer.;He do not know the answer.;A,,,,,,,,
Analogy: BIRD : FLOCK :: FISH : ?;School;Swarm;Pack;Herd;A,,,,,,,,
"Select the word which means the opposite of ""Create""";Build;Destroy;Make;Form;B,,,,,,,,
"Choose the correct preposition: ""I was born ______ July.""";in;on;at;by;A,,,,,,,,
"Synonym of ""FAMOUS""";Well-known;Obscure;Quiet;Typical;A,,,,,,,,
"Antonym of ""HAPPY""";Joyful;Sad;Glad;Content;B,,,,,,,,
"What is the past tense of ""Go""?";Goed;Gone;Went;Going;C,,,,,,,,
Fill in the blank: She is ______ than her sister.;tall;taller;tallest;more tall;B,,,,,,,,
"Identify the verb in the sentence: ""The dog runs fast.""";The;dog;runs;fast;C,,,,,,,,
"Meaning of idiom: ""Piece of cake""";A tasty dessert;Something very difficult;Something very easy;A birthday celebration;C,,,,,,,,
Select the word that is spelled correctly.;Recieve;Receive;Riceive;Recive;B,,,,,,,,
"Synonym of ""HUGE""";Tiny;Small;Massive;Weak;C,,,,,,,,
"Antonym of ""START""";Begin;Commence;Finish;Go;C,,,,,,,,
"Complete the proverb: ""Actions speak louder than ______.""";words;thoughts;voice;speech;A,,,,,,,,
Fill in the blank: I have been waiting ______ two hours.;since;from;for;by;C,,,,,,,,
Analogy: HOT : COLD :: ? : ?;Up : Down;Big : Large;Run : Walk;Eat : Drink;A,,,,,,,,
"Choose the correct article: ""He is ______ honest man.""";a;an;the;none;B,,,,,,,,
"Synonym of ""QUIET""";Loud;Silent;Noisy;Talkative;B,,,,,,,,
"Antonym of ""BUY""";Purchase;Sell;Keep;Give;B,,,,,,,,
What is a group of birds called?;Herd;Pack;Flock;Pride;C,,,,,,,,
Fill in the blank: Neither John ______ Mary is coming.;or;nor;and;but;B,,,,,,,,
"Choose the correct conjunction: ""I wanted to go, ______ it was raining.""";and;but;so;or;B,,,,,,,,
"Meaning of idiom: ""Break a leg""";Hurt yourself;Good luck;Bad luck;Dance well;B,,,,,,,,
Select the word that does NOT belong.;Apple;Banana;Carrot;Grape;C,,,,,,,,
"Synonym of ""QUICK""";Slow;Fast;Lazy;Late;B,,,,,,,,
"Antonym of ""RICH""";Wealthy;Poor;Money;Gold;B,,,,,,,,
Fill in the blank: The book is ______ the table.;in;on;at;to;B,,,,,,,,
"Identify the adjective: ""The red car is fast.""";The;red;car;is;B,,,,,,,,
"Choose the correct pronoun: ""______ is your friend?""";Who;Which;What;Where;A,,,,,,,,
"Correct phrase: ""Keep an eye ______.""";in;on;at;of;B,,,,,,,,
"Synonym of ""SMART""";Intelligent;Dumb;Slow;Weak;A,,,,,,,,
Read the passage and answer: The new regulations were ostensibly designed to protect the environment, but industry leaders argued they would cripple economic growth without offering tangible ecological benefits. What does 'ostensibly' most likely imply?;Genuinely;Supposedly;Effectively;Permanently;B,,,,,,,,
Passage: Despite his affable nature, the manager was known to be a martinet when it came to adhering to company policies. What is a 'martinet'?;A friendly companion;A strict disciplinarian;A careless worker;A generous leader;B,,,,,,,,
Identify the correct sentence.;She is one of the girls who has won the prize.;She is one of the girls who have won the prize.;She is the one of the girls who have won the prize.;She is one of the girl who has won the prize.;B,,,,,,,,
Which part of the sentence has an error? 'Hardly had he left the room (A) / than the telephone began (B) / to ring loudly (C).' / No error (D);A;B;C;D;B,,,,,,,,
Select the alternative that best substitutes the underlined part: The man *to who I sold* my house was a cheat.;to whom I sell;to who I sell;to whom I sold;No improvement;C,,,,,,,,
Fill in the blanks: The committee ______ divided in ______ opinion.;is, its;are, their;is, their;are, its;B,,,,,,,,
Find the error: 'He is addicted to smoke.';He is;addicted to;smoke;No error;C,,,,,,,,
Synonym of 'EPHEMERAL';Eternal;Transient;Pervasive;Tangible;B,,,,,,,,
Antonym of 'LUCID';Clear;Obscure;Rational;Vivid;B,,,,,,,,
Choose the word closest in meaning to 'MELLIFLUOUS'.;Harsh;Sweet-sounding;Loud;Chaotic;B,,,,,,,,
Antonym of 'OBDURATE';Stubborn;Flexible;Yielding;Callous;C,,,,,,,,
Synonym of 'PERSPICACIOUS';Dull;Astute;Ignorant;Careless;B,,,,,,,,
Choose the word that means 'A state of temporary disuse or suspension'.;Abeyance;Abundance;Abhorrence;Absolution;A,,,,,,,,
What is the meaning of the idiom: 'To beat around the bush'?;To search thoroughly;To avoid the main topic;To trim a garden;To make a loud noise;B,,,,,,,,
Meaning of: 'A wild goose chase';A successful hunt;A foolish and hopeless pursuit;A fast race;A sudden realization;B,,,,,,,,
Meaning of: 'To bite the bullet';To get wounded in war;To endure a painful situation bravely;To eat something hard;To be aggressive;B,,,,,,,,
Meaning of: 'Once in a blue moon';Very rarely;Always;Every night;During an eclipse;A,,,,,,,,
Meaning of the phrase 'To throw in the towel';To clear up a mess;To surrender or give in;To go swimming;To win quickly;B,,,,,,,,
INDIGENT : WEALTH ::;Contented : Happiness;Aristocratic : Stature;Smug : Complacency;Emaciated : Nourishment;D,,,,,,,,
OSTRICH : BIRD ::;Frog : Toad;Whale : Mammal;Snake : Reptile;Lion : Cat;B,,,,,,,,
CACOPHONY : SOUND ::;Glare : Light;Glimmer : Sight;Stench : Smell;Taste : Flavor;A,,,,,,,,
ENTOMOLOGY : INSECTS ::;Etymology : Words;Ornithology : Fossils;Phycology : Fungi;Oncology : Bones;A,,,,,,,,
Arrange correctly: P: Because of this  Q: The weather was bad  R: We decided to stay home  S: And watch a movie;QRPS;QPRS;PQRS;RQPS;B,,,,,,,,
Arrange to form a logical paragraph: P. However, the rise of the internet changed everything. Q. In the past, news was consumed primarily via newspapers. R. Today, people get real-time updates on their phones. S. This shift has severely disrupted traditional print media.;QPRS;PQRS;RQSP;QSRP;A,,,,,,,,
Sequence the sentences: P: It was a cold and dreary night. Q: I heard a strange knock at the door. R: Gathering my courage, I walked towards the hallway. S: When I opened it, there was no one there.;PQRS;PRQS;RQSP;SPQR;A,,,,,,,,
A person who is indifferent to pleasure or pain is a:;Stoic;Cynic;Ascetic;Epicurean;A,,,,,,,,
A government by the wealthy is called:;Democracy;Plutocracy;Autocracy;Aristocracy;B,,,,,,,,
A speech delivered without any previous preparation:;Extempore;Maiden;Elocution;Valedictory;A,,,,,,,,
A disease that spreads over a large area or the whole world:;Endemic;Epidemic;Pandemic;Sporadic;C,,,,,,,,
He congratulated her ______ her success.;for;on;at;about;B,,,,,,,,
She takes ______ her mother.;after;down;off;up;A,,,,,,,,
The meeting was called ______ due to the rain.;out;on;off;for;C,,,,,,,,
You must dispense ______ his services.;of;with;from;at;B,,,,,,,,
Change to passive: 'They are painting the house.';The house is painted by them.;The house is being painted by them.;The house has been painted.;The house was painted.;B,,,,,,,,
Change to active: 'Let the door be shut.';Shut the door.;You should shut the door.;The door is to be shut.;Please shut the door.;A,,,,,,,,
He said, 'I am reading a book.';He said that he is reading a book.;He said that he was reading a book.;He said that I am reading a book.;He says that he was reading a book.;B,,,,,,,,
She said, 'Did you see that?';She asked if I had seen that.;She asked if I saw that.;She asked if you had seen this.;She asked that did I see that.;A,,,,,,,,
