Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>B - Z - G - H - B - X - H - P - Y - Z</b>. How many valid 3-back matches occur?;0;5;4;1;D,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>P - E - M - Y - L - D - E - L - D</b>. How many valid 3-back matches occur?;5;2;0;1;B,,,,,,,,
In a 2-Back task, the user must identify when the current item matches the item 2 steps prior. Evaluate the following sequence: <b>S - T - G - L - L - T - T - Y - L - Z</b>. How many valid 2-back matches occur?;4;2;5;0;D,,,,,,,,
In a 2-Back task, the user must identify when the current item matches the item 2 steps prior. Evaluate the following sequence: <b>U - P - L - I - L - M - O</b>. How many valid 2-back matches occur?;3;1;5;2;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>C - R - H - Z - X - A - V - H - A</b>. How many valid 3-back matches occur?;1;5;0;4;A,,,,,,,,
In a 4-Back task, the user must identify when the current item matches the item 4 steps prior. Evaluate the following sequence: <b>F - I - S - W - M - G - S - M - I</b>. How many valid 4-back matches occur?;0;1;2;3;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>G - Z - F - A - C - U - X - A</b>. How many valid 3-back matches occur?;2;3;0;4;C,,,,,,,,
In a 2-Back task, the user must identify when the current item matches the item 2 steps prior. Evaluate the following sequence: <b>K - T - A - P - O - P - Y</b>. How many valid 2-back matches occur?;3;1;2;4;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>G - A - R - R - G - Q - W</b>. How many valid 3-back matches occur?;3;0;4;1;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>T - O - B - P - Q - B - O - T</b>. How many valid 3-back matches occur?;4;1;2;5;B,,,,,,,,
In a 2-Back task, the user must identify when the current item matches the item 2 steps prior. Evaluate the following sequence: <b>F - P - C - N - Z - S - B - C - H</b>. How many valid 2-back matches occur?;1;3;0;4;C,,,,,,,,
In a 4-Back task, the user must identify when the current item matches the item 4 steps prior. Evaluate the following sequence: <b>L - H - R - M - R - O - O - F - U - J</b>. How many valid 4-back matches occur?;1;2;0;3;C,,,,,,,,
In a 2-Back task, the user must identify when the current item matches the item 2 steps prior. Evaluate the following sequence: <b>P - A - N - A - D - J - H - A - J - Y</b>. How many valid 2-back matches occur?;2;1;3;4;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>H - R - T - I - M - I - E - V</b>. How many valid 3-back matches occur?;0;3;4;2;A,,,,,,,,
In a 4-Back task, the user must identify when the current item matches the item 4 steps prior. Evaluate the following sequence: <b>C - G - D - D - C - N - H</b>. How many valid 4-back matches occur?;0;1;5;4;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>D - I - W - B - D - Y - R - R</b>. How many valid 3-back matches occur?;4;0;1;5;B,,,,,,,,
In a 3-Back task, the user must identify when the current item matches the item 3 steps prior. Evaluate the following sequence: <b>O - L - K - M - Z - F - W - J</b>. How many valid 3-back matches occur?;0;2;1;4;A,,,,,,,,
In a 4-Back task, the user must identify when the current item matches the item 4 steps prior. Evaluate the following sequence: <b>R - W - F - K - L - M - K - Q - L - X</b>. How many valid 4-back matches occur?;0;3;5;1;D,,,,,,,,
In a 2-Back task, the user must identify when the current item matches the item 2 steps prior. Evaluate the following sequence: <b>G - O - E - I - T - S - V - X - M</b>. How many valid 2-back matches occur?;1;0;5;4;B,,,,,,,,
