Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
What is the primary function of an Operating System?;To provide a user interface;To manage system resources (CPU, Memory, I/O);To run application programs;All of the above;D,,,,,,,,
Which algorithm is used to resolve the Dining Philosophers problem?;Round Robin;Monitor / Semaphores;Shortest Job First;Banker's Algorithm;B,,,,,,,,
What does 'Thrashing' indicate in an operating system?;High CPU utilization;High I/O waiting time;Excessive page faulting causing low CPU utilization;A crashed process;C,,,,,,,,
Which of the following describes a 'Zombie Process'?;A process that has completed execution but still has an entry in the process table;A process that is currently running in the background;A process waiting for I/O;A process that is in an infinite loop;A,,,,,,,,
What is the purpose of the 'ACID' properties in a DBMS?;To ensure data redundancy;To ensure reliable processing of database transactions;To speed up query execution;To manage user access permissions;B,,,,,,,,
Which normal form ensures that there is no transitive dependency for non-prime attributes?;First Normal Form (1NF);Second Normal Form (2NF);Third Normal Form (3NF);Boyce-Codd Normal Form (BCNF);C,,,,,,,,
What is a 'Primary Key' constraint?;Ensures that a column has unique and non-null values;Allows null values but must be unique;Establishes a relationship between two tables;Restricts the domain of a column;A,,,,,,,,
In SQL, the TRUNCATE command is an example of which type of statement?;DML (Data Manipulation Language);DDL (Data Definition Language);DCL (Data Control Language);TCL (Transaction Control Language);B,,,,,,,,
Which layer of the OSI model is responsible for reliable end-to-end data delivery?;Network Layer;Data Link Layer;Transport Layer;Application Layer;C,,,,,,,,
What does IP fragmentation handle?;Dividing a packet into smaller fragments to pass through a link with a smaller MTU;Encapsulating data into a TCP segment;Assigning IP addresses to hosts;Translating domain names to IP addresses;A,,,,,,,,
Which protocol is used by web browsers to establish a secure connection with a web server?;HTTP;FTP;HTTPS (SSL/TLS);SMTP;C,,,,,,,,
What is the standard port number for the DNS service?;21;25;53;80;C,,,,,,,,
Which OOP principle is implemented by using access modifiers (private, public, protected)?;Inheritance;Polymorphism;Encapsulation;Abstraction;C,,,,,,,,
What is 'Method Overloading'?;Two or more methods in the same class with the same name but different parameters;A subclass providing a specific implementation for a method defined in its superclass;Multiple variables sharing the same name;Hiding internal implementation details;A,,,,,,,,
