Question;Option A;Option B;Option C;Option D;Answer,,,,,,,,
The average of first 50 natural numbers is;25.30;25.5;25.00;12.25;B,,,,,,,,
A fruit seller had some apples. He sells 40% apples and still has 420 apples. Originally, he had:;588 apples;600 apples;672 apples;700 apples;D,,,,,,,,
What is 20% of 50% of 75% of 80?;10;6;8;12;B,,,,,,,,
If a person walks at 14 km/hr instead of 10 km/hr, he would have walked 20 km more. The actual distance travelled by him is:;50 km;56 km;70 km;80 km;A,,,,,,,,
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?;120 metres;180 metres;324 metres;150 metres;D,,,,,,,,
A can do a work in 15 days and B in 20 days. If they work on it together for 4 days, then the fraction of the work that is left is:;1/4;1/10;7/15;8/15;D,,,,,,,,
If the cost price is 25% of selling price. Then what is the profit percent?;150%;200%;300%;350%;C,,,,,,,,
The sum of ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?;4 years;8 years;10 years;None of these;A,,,,,,,,
A father is aged three times more than his son Ronit. After 8 years, he would be two and a half times of Ronit's age. After further 8 years, how many times would he be of Ronit's age?;2 times;2.5 times;2.75 times;3 times;A,,,,,,,,
The difference between a two-digit number and the number obtained by interchanging the positions of its digits is 36. What is the difference between the two digits of that number?;3;4;9;Cannot be determined;B,,,,,,,,
Evaluation of 8^3 x 8^2 is:;8^5;8^6;8^4;8^8;A,,,,,,,,
Find the H.C.F of 513, 1134 and 1215.;18;27;33;36;B,,,,,,,,
Which of the following numbers is divisible by 3?;541326;5967013;324125;9876542;A,,,,,,,,
The smallest 3 digit prime number is:;101;103;107;109;A,,,,,,,,
The ratio of 50g to 2kg is:;1:40;1:4;1:20;1:5;A,,,,,,,,
If 15% of x = 20% of y, then x:y is:;3:4;4:3;17:16;16:17;B,,,,,,,,
A bag contains 50 P, 25 P and 10 P coins in the ratio 5: 9: 4, amounting to Rs. 206. Find the number of coins of each type respectively.;360, 160, 200;200, 360, 160;160, 360, 200;200, 160, 300;B,,,,,,,,
Three unbiased coins are tossed. What is the probability of getting at most two heads?;3/4;1/4;3/8;7/8;D,,,,,,,,
Two cards are drawn together from a pack of 52 cards. The probability that one is a spade and one is a heart is:;3/20;29/34;47/100;13/102;D,,,,,,,,
Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?;(1/3);(1/8);(2/8);(1/16);B,,,,,,,,
Which of the following fractions is the smallest?;7/6;7/9;4/5;5/7;D,,,,,,,,
0.002 x 0.5 = ?;0.001;0.01;0.1;0.0001;A,,,,,,,,
Solve: 10 + 10 x 10 / 10 - 10 = ?;0;10;20;100;B,,,,,,,,
The square root of 64009 is:;253;247;347;353;A,,,,,,,,
If the radius of a circle is increased by 50%, its area is increased by:;125%;100%;75%;50%;A,,,,,,,,
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?;3;4;5;6;C,,,,,,,,
The compound interest on Rs. 30,000 at 7% per annum is Rs. 4347. The period (in years) is:;2;2.5;3;4;A,,,,,,,,
At what rate of simple interest will a sum of money double itself in 8 years?;12%;12.5%;15%;20%;B,,,,,,,,
20 men can cut 20 trees in 4 hours. If 4 men leave the job how many trees will be cut in 6 hours?;18 trees;24 trees;16 trees;12 trees;B,,,,,,,,
Find the average of all prime numbers between 30 and 50.;39.8;38.8;37.8;41.8;A,,,,,,,,
What is the unit digit in (7^95 - 3^58)?;0;4;6;7;B,,,,,,,,
How many 3-digit numbers are completely divisible by 6?;149;150;151;166;B,,,,,,,,
A boat can travel with a speed of 13 km/hr in still water. If the speed of the stream is 4 km/hr, find the time taken by the boat to go 68 km downstream.;2 hours;3 hours;4 hours;5 hours;C,,,,,,,,
In how many different ways can the letters of the word 'DETAIL' be arranged so that the vowels always come together?;360;480;720;5040;C,,,,,,,,
Two trains running in opposite directions cross a man standing on the platform in 27 seconds and 17 seconds respectively and they cross each other in 23 seconds. The ratio of their speeds is:;1:3;3:2;3:4;None of these;B,,,,,,,,
